note_count,primary_tag,secondary_tags,blog_name,post_body,date
0,Palestine,['free gaza'  'free 🍉'  'freepalastine🇵🇸'  'free palestine'  'hands off palestine'  'from the river to the sea palestine will be free'  'free rafah'  'gofundme'  'go fund them'  'fuck israel'  'please boost'  'all eyes on palestine'  'palestinian genocide'  'save palestine'  'save rafah'  'save gaza'  'all eyes on rafah'  'all eyes on gaza'  'save 🍉'  'palestine 🍉'  '🍉'  'if you all noticed i’m spreading these fundraisers'  'i do not own any of these and am just spreading the word'  'also more tags make this more visible i think'],id0ntkn0wman1789,@ahmedalnabeeh11 is also stuck in Gaza and reached out to me for me to share his gofundme.  https://gofund.me/0e59e894  Thank you everyone.,2024-07-07 22:47:29 GMT
10,Palestine,['israel'  'free palestine'  'october 7'  'october 7th'  '10/7'  'israeli war crimes'  'hannibal directive'  'haaretz'  'gaza'  'gaza genocide'  'free gaza'  'idf'  'iof'  'idf war crimes'  'iof war crimes'  'idf crimes'  'iof crimes'  'israeli defence force'  'israeli occupation force'  'israeli occupation forces'  'hannibal protocal'  "kibbutz be'eri"  'kfar aza'  'yaniv kubovich'],documenting-apartheid,IDF ordered Hannibal directive on October 7 to prevent Hamas taking soldiers captive  JULY 7 2024 - Israeli media Haaretz finally confirms that on October 7th three Israeli army facilities used the Hannibal directive an Israeli military policy that dictates the use of maximum force to prevent the capture of an IDF soldier by enemy forces including the preemptive killing of their own soldiers in order to prevent them from being taken hostage.  Haaretz also confirms because of the Hannibal Directive the IDF indiscriminately launched mortar shells tank fire and artillery fire at anything moving in Gaza’s direction close to the communities of Be’eri &amp; Kfar Aza without knowing how many soldiers hostages or civilians were there which likely killed civilians and hostages. Haaretz notes on instance where the IDF killed 13 hostages in the house of Pessi Cohen at Kibbutz Be&#x27;eri due to indiscriminate shelling.  This comes eight months after Haaretz had originally wrote articles labelling independent journalists “conspiracy theorists” and “denialists” for investigating and suggesting that Israel used the Hannibal Directive on October 7th.  Link to non paywalled article here,2024-07-07 23:55:41 GMT
8,Palestine,['free palestine'  'gaza'  'free gaza'  'scammers'  'alleged scamming'],skullofrome,Hello friends. I’m sorry to say that I accidentally promoted an alleged scam account. :(  I’m sickened that people are using peoples suffering as a way to fuel their greed. I have deleted that post and I will do more work to avoid further incidents like this.  Do not trust this person.  Fuck these scammers and free Palestine.,2024-07-07 23:54:35 GMT
1,Palestine,['gaza'  'free palestine'  'free gaza'  'genocide'  'gaza genocide'  'palestinian genocide'  'pro palestine'  'protests'  'all eyes on rafah'  'wizard bisan'  'instagram'],-semlohkcolrehs-,body &gt; iframe { min-width: auto !important }        View this post on Instagram            A post shared by Bisan Owda (@wizard_bisan1),2024-07-07 23:46:56 GMT
17,Palestine,['free palestine'  'gaza'  'free gaza'  'جداريات'  'graffiti'  'street art'  'جدران'  'فلسطین'  'فلسطين'  'فلسطين حرة'  'الحرية لغزة'  'غزة'  'الحرية لفلسطين'],paliwalls,@paIestiine,2024-07-08 00:55:15 GMT
4,Palestine,['bassil al-araj'  'باسل الاعرج'  'باسل الأعرج'  'free palestine'  'gaza'  'free gaza'  'جداريات'  'graffiti'  'street art'  'جدران'  'فلسطین'  'فلسطين'  'فلسطين حرة'  'الحرية لغزة'  'غزة'  'الحرية لفلسطين'],paliwalls,The Bassel | الباسل  The clashing intellectual the martyr God willing Bassel al-Araj  المثقف المشتبك الشهيد بإذن الله باسل الأعرج  @paIestiine,2024-07-08 00:53:14 GMT
0,Palestine,['when the real numbers come out so many people will start hiding the fact that they stayed silent or supported it'  'gaza'],lilylived,The Lancet estimates that about 186000 to 600000 people have been killed so far in Gaza  Out of a population of 2.3 million. That’s at least 8% of the population or up to 26% with no sign of stopping.,2024-07-08 00:46:18 GMT
23,Palestine,['free palestine'  'gaza'  'free gaza'  'جداريات'  'graffiti'  'street art'  'جدران'  'فلسطین'  'فلسطين'  'فلسطين حرة'  'الحرية لغزة'  'غزة'  'الحرية لفلسطين'],paliwalls,Palestine | فلسطين  @paIestiine,2024-07-08 00:45:57 GMT
86,Palestine,["but sure go ahead and tell me how noah schnapp is facing critisism because he's a jew & not because he was sharing those “zionism is sexy”"  'stickers while taking a stand with israel posting story about “you either stand with israel or you stand with violence” mind you he also'  'never gaf about the backlash until his show was threatened and people started being vocal about how they were going to boycott st s5'  'free palestine'  'free gaza'  'israel'],chappellrroan,calling out zionism is not antisemitism it’s literally as simple as that,2024-07-08 01:59:59 GMT
0,Palestine,['free palestine'  'fuck israel'  'gaza'  'freepalastine🇵🇸'  'free gaza'  'gazaunderattack'  'ceasefire'  'instagram'],monachopsis-people,body &gt; iframe { min-width: auto !important }        View this post on Instagram            A post shared by Khaled Beydoun (@khaledbeydoun),2024-07-08 01:52:50 GMT
0,Palestine,['free palestine'  'free gaza'  'gaza'  'rafah'  'all eyes on rafah'  'gofundme'  'gaza gofundme'  'donate'  'share'],writerqueenofjewels,https://gofund.me/6d34bcca,2024-07-08 01:50:09 GMT
102,Palestine,['fundraiser -- matthew clarke'  'vetted fundraisers'  'verified fundraisers'  'fundraisers for palestine'  'palestine fundraiser'  'palestine gfm'  'palestine gofundme'  'palestinian gofundme'  'palestinian fundraiser'  'palestine fundraiser'  'saratahrawi'  'liberation for palestine'  'escape for palestine'  'palestinian people'  'people of palestine'  'palestinian lives matter'  'fuck genocide joe'],akamanto0,EMERGENCY POST FOR SARA &amp; ALAA TAHRAWI!!!Donate to Restoring our dreams life and future organized by Matthew Clarke  Hi everyone this is an emergency post for Sara &amp; Alaa Tahrawi aka @saratahrawi!!! She and her family are desperately trying to escape Palestine and travel for a better life!! Sara’s husband Alaa Faraj lost his job and both of them and their children Zeina and Usama have all lost their home of 4 years to the genocide many world leaders have turned a blind eye to until now! Please support them by donating! If you can’t please share their story and their gofundme and make sure they’re never forgotten and they thrive to see a free Palestine! They are number #235 on this spreadsheet!! £448 raised of £15000!!! July 9 Update: £523 raised of £15000!! August 7 Update: £1597 raised of £15000 goal!!! @palms-upturned @pigeonsympathiser @bunniiebabi @hystericfae @comikadraws   @es0teric–c0nundrums  @fleepadeep,2024-07-08 01:45:56 GMT
57,Palestine,['free palestine'  'gaza'  'free gaza'  'genocide'  'gaza genocide'  'palestinian genocide'  'pro palestine'  'protests'  'all eyes on rafah'],-semlohkcolrehs-,ALTView on Twitter,2024-07-08 01:41:01 GMT
0,Palestine,['to read'  'magazine clippings'],hea-musings,Counting the dead in Gaza: difficult but essential,2024-07-08 02:48:27 GMT
3,Palestine,["'posting doesn't help' wrong! 'me reblogging a fundraiser won't do anything' wrong! 'i'm useless if i can't donate' wrong!"  "i don't mean this in a mean way btw i mean it in a heartening way"  "do whatever you can to help and if that's clicking a button then click click click! including daily clicks on arab.com those are included!"  'my words'  'free palestine'  'gaza'  'free gaza'],magnus-rhymes-with-swagness,hey y&#x27;all please do follow palestinians and regularly share their fundraisers. it’s quite literally as easy as clicking a button. donating to them is best but if you can’t do that boost them :),2024-07-08 02:44:01 GMT
2633,Palestine,['free palestine'  'freepalastine🇵🇸'  'free gaza'  'gaza strip'  'gaza genocide'  'gazaunderattack'  'gaza'  'all eyes on rafah'  'free rafah'  'save rafah'  'rafah under attack'  'rafah'  'ausgov'  'politas'  'auspol'  'tasgov'  'taspol'  'australia'  'fuck neoliberals'  'neoliberal capitalism'  'anthony albanese'  'albanese government'  'israel is committing genocide'  'palestinian genocide'  'stop the genocide'  'israel is a genocidal state'  'genocide joe'  'genocide'  'israel'],nando161mando,ALT BREAKING: Extremely violent ‘Israeli’ bombings described as the worst attacks since the beginning of the genocide of Gaza City. Continuous belts of fire and raids are attacking the north of the Gaza Strip. Raise your voice now. They shouldn’t be allowed to make people become numb to it,2024-07-08 02:41:54 GMT
91,Palestine,['from the river to the sea palestine will be free'  'art'  'mine'  'free palestine'  'palestine will be free'  'inshallah'  'إن شاء الله'  'falestine'  'falesteen'  'poster'  'gazelle'  'olive branch'  'lemon branch'  'watermelon'  'digital art'  'palestine art'],nopause,إن شاء الله  palestine will be free,2024-07-08 03:57:22 GMT
3827,Palestine,['jason hickel'  'the lancet'  'free palestine'  'freepalastine🇵🇸'  'gaza genocide'  'gaza strip'  'gazaunderattack'  'free gaza'  'gaza'  'all eyes on rafah'  'free rafah'  'save rafah'  'rafah under attack'  'rafah'  'ausgov'  'politas'  'auspol'  'tasgov'  'taspol'  'australia'  'fuck neoliberals'  'neoliberal capitalism'  'anthony albanese'  'albanese government'  'israel is committing genocide'  'palestinian genocide'  'stop the genocide'  'israel is a genocidal state'  'genocide joe'],nando161mando,Jason Hickel: The Lancet has just published this article “conservatively” estimating that the death toll in the Gaza genocide could be 186000 people or more.,2024-07-08 03:33:03 GMT
2,Palestine,['free palestine'  'free gaza'  'gaza'  'from the river to the sea palestine will be free'  'current events'  'donations'  'children'  'family in need'  'human rights'  'operation olive branch'  'go fund me'  'comment share and repost'  'manipulate the algorithm'  'tel aviv'  'jerusalem'  'hamas'  'fuck the idf'  'fuck the israeli government'  'fuck the iof'  'imagine how tired they are'  'humanitarian crisis'  'islamophobia'  'july 2024'  'arab food'  'gaza strip'  'resistance'  'leftism'  'end israeli apartheid'  'colonization'],dazedasian,body &gt; iframe { min-width: auto !important }        View this post on Instagram            A post shared by Abdalkarim I. Almadhoun (@abdalkarim_i._almadhoun)  Donate to Help Abdalkarim’s family rebuild their hope organized by Abdalkarim Almadhoun,2024-07-08 03:25:13 GMT
53,Palestine,['free palestine'  'freepalastine🇵🇸'  'free gaza'  'gaza genocide'  'gaza strip'  'gazaunderattack'  'gaza'  'all eyes on rafah'  'free rafah'  'save rafah'  'rafah under attack'  'rafah'  'ausgov'  'politas'  'auspol'  'tasgov'  'taspol'  'australia'  'fuck neoliberals'  'neoliberal capitalism'  'anthony albanese'  'albanese government'  'israel is committing genocide'  'palestinian genocide'  'stop the genocide'  'israel is a genocidal state'  'genocide joe'  'genocide'  'no pride in genocide'],nando161mando,ALT The Lancet the most credible medical journal in the world has conservatively reported that 186k people or more could have been killed in Gaza. Western powers should never be forgiven for making this a norm or allowed to get away with it be it US EU ‘Israel’ or the western media apparatuses,2024-07-08 04:29:24 GMT
0,Palestine,['gaza'  'free palestine'  'free gaza'  'genocide'  'gaza genocide'  'palestinian genocide'  'pro palestine'  'protests'  'all eyes on rafah'  'instagram'],-semlohkcolrehs-,body &gt; iframe { min-width: auto !important }        View this post on Instagram            A post shared by Rikke Vorrester (@vorresterinrikke),2024-07-08 04:28:48 GMT
1,Palestine,['free palestine'  'free gaza'  'gaza'  'rafah'  'all eyes on rafah'  'gofundme'  'gaza gofundme'  'donate'  'share'],writerqueenofjewels,ALTView on Twitter,2024-07-08 05:59:35 GMT
0,Palestine,['free palestine'  'free gaza'  'gaza'  'rafah'  'all eyes on rafah'  'gofundme'  'gaza gofundme'  'donate'  'share'],writerqueenofjewels,ALTView on Twitter,2024-07-08 05:58:57 GMT
0,Palestine,['free palestine'  'free gaza'  'gaza'  'rafah'  'all eyes on rafah'  'gofundme'  'gaza gofundme'  'donate'  'share'],writerqueenofjewels,ALTView on Twitter,2024-07-08 05:58:18 GMT
0,Palestine,['free palestine'  'gaza'  'free gaza'  'genocide'  'gaza genocide'  'palestinian genocide'  'pro palestine'  'protests'  'all eyes on rafah'],-semlohkcolrehs-,x.com,2024-07-08 05:54:33 GMT
361,Palestine,['gaza'  'free palestine'],soon-palestine,ALTView on Twitter  To whom it concerns  We are subjected to violent bombardment by land sea and air - and it has not stopped for an hour or more in various areas of Gaza City - the northern Gaza Strip - successive and intense belts of fire in a way that can never be described.  Oh God be kind to us and our people. Oh God be steadfast. Oh God be steadfast  ALTView on Twitter  ALTView on Twitter  Dozens of families were trapped in their homes under a barrage of violent bombardment in the vicinity of universities and industry south of Tal al-Hawa west of Gaza City after the sudden occupation advance at dawn today.  ALTView on Twitter,2024-07-08 05:49:14 GMT
7,Palestine,['queers for palestine'  'free palestine'],sillypretzelbehaviour,on another note fuck yeah palestinian solidarity  important because pinkwashing is dogshit and actually no one is free until we’re all free,2024-07-08 05:48:39 GMT
32,Palestine,['gaza'  'gofundme'  'donations'  'asriel'  'undertale'  'wizards with guns'  "i'm in love with the villainess"  'toadart'  'art'  'fanart'],g0at0ad,my next batch of commissions! if you like the look of these and would like to support a family from gaza check out my commission sheet!,2024-07-08 06:51:02 GMT
12,Palestine,['free palestine'  'gaza'  'gaza strip'  'australia'  'politics'],thowawayuntilfurthernotice,Can’t wait for the Israeli government to start accusing the Jewish Council of Australia of being “Affiliated with Hamas” while still claiming that anyone who criticizes Israel is an antisemite.,2024-07-08 06:28:51 GMT
12849,Palestine,['gaza'  'free palestine'],soon-palestine,ALTView on Twitter  ALTView on Twitter  Counting the dead in Gaza: difficult but essential  ALTView on Twitter,2024-07-08 06:11:15 GMT
11,Palestine,['free palestine'  'gaza'  'free gaza'  'genocide'  'gaza genocide'  'palestinian genocide'  'pro palestine'  'protests'  'all eyes on rafah'],-semlohkcolrehs-,ALTView on Twitter,2024-07-08 07:46:39 GMT
0,Palestine,['this and its connection to the entire structure of our world'  'like if they let the shelf drop that means they have to start emphasizing with all people living under the bonds of imperialism'  'and then it’s like shit my whole life falls apart'],sicilianjusticeleaguee,it’s actually truly insane to me that people are justifying still what israel and the us and allies are doing to palestine. the mental and moral gymnastics these people are doing in order to avoid reconciling with the horror and truth of their complicity has to only be ratcheting up the cognitive dissonance to head splitting levels right??? like this is the pin holding their whole worldview together and the weight of having to face true empathy and self-awareness is unbearable,2024-07-08 07:43:53 GMT
1,Palestine,['gaza'],rebelqueenofferelden,Fuck your “recognision” of a Palestinian state. Literally NO Palestinian cares about your western centric view of how countries should operate. NOTHING LESS THAN THE COMPLETE ANNIHILATION OF ISRAEL I’m not joking.,2024-07-08 07:32:53 GMT
0,Palestine,['free palestine'  'i stand with palestine'],delightfulspiteful,Im not from Palestine but here I stand..,2024-07-08 07:24:34 GMT
1,Palestine,['donations'  'this showed up in my asks'  'i can literally only donate  <$5'  'but he literally asked me as personally as he could'  "i hope it's not a scam."],kbb306,Can anyone verify if this is legit?,2024-07-08 07:21:47 GMT
214,Palestine,['gaza'  'free palestine'],soon-palestine,ALTView on Twitter,2024-07-08 08:58:15 GMT
0,Palestine,['free gaza'  'free palestine'  'gaza genocide'  'gaza'  'gaza under attack'  'gaza ground invasion'  'israel is a terrorist state'  'gaza gofundme'  'from the river to the sea palestine will be free'],mayhemkitten11,Login • Instagram  Donate to Help me and help my family organized by Mahmoud AlNems,2024-07-08 08:54:19 GMT
0,Palestine,['freepalastine🇵🇸'  'vent post'  'wtf'  "there's so much evidence"  'people are dying'  "and you're denying it"  '???'],imthat1boy,Holy shit  Holy fucking shit  There are still so many Palestinian genocide deners  holy fucking shit  You disgusting fucks are just letting the Holocaust happen all over again.  If you deny the Palestine genocide block me the fuck now.,2024-07-08 08:54:00 GMT
5,Palestine,['free palestine'  'free gaza'  'gaza'  'important'  'please donate'  'end israeli occupation'  'gaza genocide'  'please reblog'  'please reblog the fundraiser(s) on this blog and donate if you can!!!'],treeefrogg,Y&#x27;all this family’s campaign has not been moving at all since I last checked!!!  PLEASE PLEASE  DONATE; SHARE;  MATCH DONATIONS WITH OTHERS!!  1 USD = APPROX. 11 NOK,2024-07-08 08:49:10 GMT
10,Palestine,['israel'  'gaza'],pat-lechem,“Hardly a day seems to go by in this war without some new lie about Israeli crimes. In October it was claimed that Israel bombed the Ahli Baptist Hospital in Gaza killing 500 people. Nearly every detail about this incident was a lie designed to tarnish Israel’s reputation and yet it was eaten up by a media that never learned or wanted to learn to treat anti-Israel accusations with the skepticism they deserve. It was quickly proven that Israel had not bombed the hospital that the blast was caused by a misfired Islamic Jihad rocket that struck the parking lot and that the death toll was a small fraction of what had been claimed.” -Gary Willig July 2024,2024-07-08 08:48:13 GMT
466,Palestine,['photography'  'islam'  'gaza'  'israel'  'islamophobia'  'nakba 2023'  'nakba 1948'  'nakba'  'al nakba'  'west bank'  'nakba day'  'genocide'  'israeli occupation'  'gaza genocide'  'israel is committing genocide'  'palestinian genocide'  'stop the genocide'  'war crimes'  'crimes against humanity'  'israel war crimes'  'anti zionisim'  'zionistterror'  'zionsim is terrorism'  'zionazis'  'zionistcensorship'  'war criminals'  'crimes against children'  'crimes against women'  'ethnic cleansing'],cavalierzee,The “Terrorist” vs The “Eternal Victim” The little girl throwing stones to defend her family home is the terrorist.  The occupation soldier born in the US is the victim.  Surely it’s obvious?  Or are you some kind of antisemite?!  Tiberius,2024-07-08 08:45:10 GMT
0,Palestine,['free palestine'  'gaza'  'free gaza'  'genocide'  'gaza genocide'  'palestinian genocide'  'pro palestine'  'protests'  'all eyes on rafah'],-semlohkcolrehs-,x.com,2024-07-08 08:42:48 GMT
23,Palestine,['free palestine'  'gaza'  'free gaza'  'jerusalem'  'israel'  'current events'  'gaza strip'  'genocide'  'gaza genocide'  'palestine donation'  'gaza donation'  'every donation counts'  'help donate'  'keep donating'  'donation drive'  'donation'],meapl,Donate to Help A Family of 5 Survive Gaza War &amp; Reunite with Dad organized by Caroline K,2024-07-08 08:37:13 GMT
8,Palestine,['submission'  'save palestinians'  'free palastine'  'save palestine'  'justice for palestine'  'stand with gaza'  'free gaza'  'gaza strip'  'gaza genocide'  'gazaunderattack'  'gaza'  'فلسطين'  'فلسطین'  'غزة تحت القصف'  'غزة العزة'  'قطاع غزة'],saffron-reblogs,https://www.tumblr.com/karamrafeek/755097843814088704/help-karam-al-nabih-and-his-family-rebuild-their?source=share  Repoooost &amp; donate please after read my story that’s urgent! 🇵🇸🍉 Please give me your attention. Watch the videos. They are humanitarians. Spread and donate the intensive. The situation is increasing. I ask you to get me to the goal soon when only a little remains to reach my goal in order to preserve and take care of myself and my mother. Thank you all💔 _________  This post was submitted by Mr Karam he desperately needs your donations and help. If you are incapable of donating like me please share and reblog his post. It matters and it does make a difference.   Click here for the GoFundMe,2024-07-08 09:35:42 GMT
0,Palestine,['hamas propaganda'  'propaganda'  'isarel'  'israleis'  'nation'  'hamas'  'hamas war crimes'  'israel hamas war'  'israel/hamas war'  'october 7'  'october 6'  'anti semitism'  'israel has a right to exsist'  'america'  'usa'  'wake up'  'freedom'  'liberty'  'islamic republic of iran'  'iran'  'marxism'  'islam'  'muslim'  'marxist'],timaeuslover001,ALTView on Twitter,2024-07-08 09:34:18 GMT
5,Palestine,['i stand with palestine 🇵🇸'  'free palestine 🇵🇸'  '🇵🇸'  'free gaza'  'save gaza'  'gaza donation'  'dino rambles'  'digital art'],prawnbie,To continue with wanting to help as many Palestinian Families I can here are a series of posts with links to families that you can donate to! All of which have been verified to be legit please take your time to look through them all and if not able to donate share it so people who can donate see it!     This post will most likely be periodically reposted and updated by me as I continue to look for more families and people in need - if you know anybody personally in Gaza that could use the reach for donations please share their donation links in this post! Let’s let it be known that these people are being heard by us.🇵🇸  Fundraiser Masterpost,2024-07-08 10:58:59 GMT
21,Palestine,['free palestine'  'palestine fundraiser'  'palestine resources'  'palestine genocide'  'support palestine'  'palestine forever'  'gaza'  'free gaza'  'rafah'  'free rafah'  'all eyes on rafah'  'end genocide'  'important'  'resources'],jondoe297,Donate to Help AlSwaisi Family to rebuild their life in Gaza organized by Mohammed Basem Ashour,2024-07-08 10:54:46 GMT
6,Palestine,['gaza'  'donate'  'free palestine'  'all eyes on rafah'  'from the river to the sea palestine will be free'  'signal boost'  'charity'  'organization'  'donation'  'volunteer'  'help'],noctomania,Daily Click’s List of Relief Organizations   Click here for a list of organizations you can donate to help Palestinians,2024-07-08 10:43:12 GMT
5,Palestine,['free palestine'  'gaza'  'free gaza'  'genocide'  'gaza genocide'  'palestinian genocide'  'pro palestine'  'protests'  'all eyes on rafah'],-semlohkcolrehs-,ALTView on Twitter,2024-07-08 10:36:42 GMT
13815,Palestine,['gaza'  'gazaunderattack'  'gaza strip'  'gaza genocide'  'free gaza'  'free palestine'],90-ghost,There are currently ZERO functioning hospitals in Gaza City.  If you get injured: You die.,2024-07-08 11:58:45 GMT
135,Palestine,['free palestine'  'gaza'],soon-palestine,ALTView on Twitter,2024-07-08 11:58:06 GMT
27,Palestine,['gaza'  'free palestine'],soon-palestine,ALTView on Twitter  Urgent | Medical sources for Al Jazeera: A 6-year-old child died in Deir al-Balah in the central Gaza Strip due to malnutrition,2024-07-08 11:35:39 GMT
396,Palestine,['international politics'  'israel'  'united states'  'palestinian genocide'  'israel war crimes'  'personal rant'  'united kingdom'  'indigenous peoples'  'judaism'],forever-nainai,Jews who experienced the genocide (Holocaust lived or died) HAVE to be rolling in their graves to know another genocide is being committed but this time in the name of THEIR religion within the SAME generation as their immediate descendants as if those descendants learned NOTHING from their OWN history destroying the sacrifices they endured to bring light to the ways of evil and BECOMING the evil in this world.  Everyone who endured WWII the victims the soldiers who fought to stop an evil should be pissed right now because it’s was all for naught. In fact the same countries they bled for are the ones complicit which makes it even more devastating.   Current soldiers helping Israel because of “orders” better realize you’re the very SAME as the Nazi soldiers who just followed orders too. YOU are the new BABY KILLERS. Either defect or GET READY FOR YEARS OF THERAPY. Don’t believe me? Go ask your fellow veterans of Vietnam Korea Desert Storm Afghanistan Iraq etc etc etc who experienced bloodshed and see how they’re doing now. How many of them lost friends not on the battlefield but to their demons back home.   FYI don’t even bother bringing me any bullshit about antisemitism because by just doing so you obviously don’t know what the word means.,2024-07-08 12:49:12 GMT
30,Palestine,['israel'  'qatar'  'gaza'  'terrorism'],lostinsidelostoutside,Qatar is a joke !   They are behind so many terrorists organizations!,2024-07-08 13:59:58 GMT
0,Palestine,['free palestine'  'gaza'  'free gaza'  'genocide'  'gaza genocide'  'palestinian genocide'  'pro palestine'  'protests'  'all eyes on rafah'],-semlohkcolrehs-,x.com,2024-07-08 13:54:46 GMT
4,Palestine,['art'  'reblogs are appreciated! :d'],resha04,If you’re looking for a way to help Palestine but are not able to donate you can go to arab.org and click once a day 😀  Your click will generate donation from the sponsors which will go directly to the organizations stated.  (You can also click to support other causes!),2024-07-08 13:49:49 GMT
79,Palestine,['gaza'],eaudera,ALTView on Twitter  with increasing hostility from the IOF it’s important we help Gazan’s who want to evacuate- please donate to Mahammad’s GFM,2024-07-08 13:49:41 GMT
8,Palestine,['free palestine'  'gaza'  'free gaza'  'rafah'  'free rafah'  'ceasefire'  'ceasefire now'],oxoxevoledicius,@shahednhall and her family need help. Their family is stuck in Gaza with hardly any necessities for survival. If you can afford to donate please do and if not share. But do not scroll or forget.  Donate to Help Shahd in Gaza! organized by Shahed Muhammad,2024-07-08 13:49:35 GMT
16,Palestine,['kuromi'  'sanrio'  'anime'  'free palestine'  'free gaza'  'gaza'],yourfavereminds,Kuromi reminds you to do your daily click for Palestine  BE SURE TO HAVE ADBLOCK OFF BEFORE CLICKING,2024-07-08 14:48:38 GMT
