note_count,primary_tag,secondary_tags,blog_name,post_body,date
52,Cats of Tumblr,['cats'  'artists on tumblr'  'art of tumblr'  'art'  'illustration'  'drawing'  'painting'  'watercolor'  'art process'  'salad_process'  'lol'  'meow'  'memes'  'mems'  'kawaii'],salad2022,Process ☆~☆,2024-07-07 19:22:33 GMT
15,Cats of Tumblr,['kitty posting'  'catblr'  'petblr'  "it's okay i can talk about her like that but if anyone else does it's on sight"],kittykitty-meowmeow55,Clueless ass,2024-07-07 19:05:35 GMT
3,Cats of Tumblr,['cute cats'  'cats'],cringefailloserman,kibty,2024-07-07 19:03:57 GMT
38,Cats of Tumblr,['drifter'  'personal'  'cute cats'  'cats'  'catp0rn'  'catporn'  'cat'  'gray cat'  'gray cats'  'grey cats'  'grey cat'  'cute'  'pets'  'pets of tumblr'  'my pets'],arnimane,Drifter always loves my pets 😋,2024-07-07 19:00:30 GMT
3,Cats of Tumblr,['catslover'  'kittens'  'cats of world'],australgarden,The nap in my hand. ❤️,2024-07-07 18:55:26 GMT
0,Cats of Tumblr,['cat'  'cats'  'animal'  'animals'  'kitten'  'cute'  'haha'  'lol'  'humor'  'wholesome'  'aww'  'funny'],catlaughscentral,Funny cat pillow,2024-07-07 21:31:07 GMT
2,Cats of Tumblr,['whisper'  'dexy'  'cats'],adtothebone,3:33pm — Kitty-cat Limbo: Whisper and Dexy were torn between trying to convince me it’s dinner time (it wasn’t) and keeping a safe distance from the gutter-installation noises in the back yard.,2024-07-07 21:27:02 GMT
4,Cats of Tumblr,['cats'  'cute animals'  'cute cats'  'siberian cat'],cortinar,💕my babies💕  Tiba and Bisha,2024-07-07 21:22:29 GMT
6,Cats of Tumblr,['cat'  'cat people'  'cats'  'cats in inconvenient places'],thevoidstaredback,He’s mad because I picked him up and wanted to hold him. When I let him go he loafed on the floor next to my chair.  I can’t move because the chair is squeakier than a high mouse jumping on a squeaky toy and I don’t want to startle him because he’ll run and hide if I do.,2024-07-07 21:17:37 GMT
34,Cats of Tumblr,['black cat'  'cats'  'cat'  'pet'  'pets'  'cute animals'  'animal'  'animals'  'polaroid'  'found'  'soup'  'love'  'cute'],veeveetheheretic,I LOVE SOUP,2024-07-07 21:11:55 GMT
0,Cats of Tumblr,['creepypasta'  'creepypasta proxy'],elowenlump125,I drew Fille sauvage/Wild Girl :),2024-07-07 20:32:18 GMT
0,Cats of Tumblr,['my cat'  'cats'  "fox's posts"],foxonrollerskates,Toe beans :),2024-07-07 20:27:30 GMT
220,Cats of Tumblr,['kitkat'  'txt.me'  'mostlycatsmostly'  'cats'],wulfhalls,look at this long little guy 😭,2024-07-07 20:23:48 GMT
0,Cats of Tumblr,['tw animal death'  'referenced anyways'  'cats'  'this is the most relaxed one seen him in well over a week'],igetnobitcheswhatsoever,His last 24 hours on earth and he’s relaxing outside. First time he’s had energy to leave our house in weeks; I’m glad he got to see it one last time.,2024-07-07 20:23:10 GMT
7,Cats of Tumblr,['cats'  'family'  'pets'],idgie-stark,Been putting this post off. I wanted to write more but the words aren’t coming. Saturday a week ago we had to send my beloved Smokey across the rainbow bridge. He had been sick over a month and slowly stopped eating and drinking. After multiple vet visits and numerous tests we found he had cancer. Unfortunately his chest and abdominal cavities started filling with fluid so fast we didn’t have time to do more tests to determine treatment. He struggled to breathe. He was slowly starving.   He was suffering and I couldn’t allow that to continue.   My heart is broken. My sweet Smokes had been with us almost 12 years. He was the first cat I had after a few decades of losing my last. He was the best sweetest companion. Even at the end.   He was held in all our hands as he slipped away. He purred until the end. The usual vet we saw wasn’t there so she called us the next day and told us it was the right thing not to wait for her. He was just getting worse and worse.   I miss him every day.   I have his nose prints and paw prints. I will  Be getting those tattooed in the fall as he will always be with me.   Hug your fur babies. You never know when they will be called across the rainbow bridge.,2024-07-07 20:23:09 GMT
14,Cats of Tumblr,['cats'  'cat'  'felines'  'feline'  'i am a cat person as you can see'  'youtube'  'i love cats'  'i love them so much'],nightowl1556,Cat: ……👀  Me: Oooo a kitty! 😄  Cat: *lets out the softest meow known to mankind*  Me: sisIabsidjaisis g izgs,2024-07-07 20:10:20 GMT
8,Cats of Tumblr,['cat'  'cat people'  'cats'  'cute cats'  'cats in inconvenient places'],thevoidstaredback,Why does she insist on laying on my mouse?,2024-07-07 20:05:08 GMT
4,Cats of Tumblr,['cats'  'they’re so fucking stupid and i love them'  'the black cat is currently screaming her tiny lungs out'],asap-d1rt,hi guys look at my cats have a blessed day,2024-07-07 19:48:42 GMT
0,Cats of Tumblr,['pink pony club'  'pink pony cat'  'chappel roan'  'cats'],vicsplinters,Broke out the Cricut Cutter. Nemo is not pleased but we are all enjoying the Pink Pony Vibes.,2024-07-07 19:40:58 GMT
4,Cats of Tumblr,['i love her so much'  'my cat'  'cats'],popcorn-plots,kittyyyyyy,2024-07-07 19:31:49 GMT
2,Cats of Tumblr,['shelter cat'  'adopt don’t shop'  'cats'],adtothebone,Alison has entered Play Mode.  cdhs.net,2024-07-07 22:59:20 GMT
754,Cats of Tumblr,[],rickybabyboy,ALT sleeping on my green thing  ID: Orange and white tabby sleeping on the back of a green couch with his feet kicked out cutely,2024-07-07 22:58:43 GMT
0,Cats of Tumblr,['cats'  '✨princess leia the kitty✨'  'she deserves her own tag ngl bc she’s the bestest baby'],arcanamouse,A certain someone is highly displeased about her biannual transformation into a wet rat,2024-07-07 22:57:13 GMT
3,Cats of Tumblr,['pet'  'pets'  'pets of tumblr'  'coyote'  'tulip'  'my pets'  'my cats'  'cute animals'  'my videos'  'youtube'],cursedcorvid,The only way I can post videos right now I guess  Anyway look at my cats,2024-07-07 22:35:07 GMT
33,Cats of Tumblr,['pipe bomb the cat'  'cat'  'cats'  'cute cats'],pipe-bomb-official,It’s a nice day for some gay stupidity,2024-07-07 22:32:28 GMT
23,Cats of Tumblr,['cute cats'  'cat'  'ravioli'  'pets'  'pet'  'kitty'  'kitten'  'pets of tumblr'  'hit the read more 🤫'],itsravioli,sulking :(  &lt;!-- more --&gt;   PSYCH! fooled you!! &gt;:3,2024-07-07 22:05:13 GMT
90,Cats of Tumblr,['cat blog'  'cats'],cherryandpudding,Happy new week!   Love  Cherry and Pudding,2024-07-07 22:03:52 GMT
3,Cats of Tumblr,[],boodraws,Woe sukie be upon ye,2024-07-07 22:01:52 GMT
0,Cats of Tumblr,['cat'  'cats'  'animal'  'animals'  'kitten'  'cute'  'haha'  'lol'  'humor'  'wholesome'  'aww'  'funny'],catlaughscentral,Funny cat pillow,2024-07-07 21:31:07 GMT
2,Cats of Tumblr,['whisper'  'dexy'  'cats'],adtothebone,3:33pm — Kitty-cat Limbo: Whisper and Dexy were torn between trying to convince me it’s dinner time (it wasn’t) and keeping a safe distance from the gutter-installation noises in the back yard.,2024-07-07 21:27:02 GMT
4,Cats of Tumblr,['cats'  'cute animals'  'cute cats'  'siberian cat'],cortinar,💕my babies💕  Tiba and Bisha,2024-07-07 21:22:29 GMT
6,Cats of Tumblr,['cat'  'cat people'  'cats'  'cats in inconvenient places'],thevoidstaredback,He’s mad because I picked him up and wanted to hold him. When I let him go he loafed on the floor next to my chair.  I can’t move because the chair is squeakier than a high mouse jumping on a squeaky toy and I don’t want to startle him because he’ll run and hide if I do.,2024-07-07 21:17:37 GMT
34,Cats of Tumblr,['black cat'  'cats'  'cat'  'pet'  'pets'  'cute animals'  'animal'  'animals'  'polaroid'  'found'  'soup'  'love'  'cute'],veeveetheheretic,I LOVE SOUP,2024-07-07 21:11:55 GMT
0,Cats of Tumblr,['creepypasta'  'creepypasta proxy'],elowenlump125,I drew Fille sauvage/Wild Girl :),2024-07-07 20:32:18 GMT
0,Cats of Tumblr,['my cat'  'cats'  "fox's posts"],foxonrollerskates,Toe beans :),2024-07-07 20:27:30 GMT
276,Cats of Tumblr,['cat'  'cute cat'  'black cat'  'golden cat eyes'  'pretty cat'  'rosalina'],cheza13,7.7.24 Rosalina enjoying a cool breeze; a break from the heat.,2024-07-07 23:39:38 GMT
712,Cats of Tumblr,[],rickybabyboy,ALTALT Hey…  IDs:  Image 1: An orange and white tabby looking down from a window sill from behind a curtain with very wide eyes  Image 2: The same cat reaching his paws out from behind the curtain,2024-07-07 23:12:50 GMT
10,Cats of Tumblr,['lotr'  'cat'  'lord of the rings'  'i think her favorite character is gimli just like me'],rena-and-raw-cookie-dough,Forcing my cat to watch the LotR extended editions with me.   She seems to be enjoying it.,2024-07-07 23:08:56 GMT
5,Cats of Tumblr,['cute cats'  'cats'  'cat'  'black cat'  'my cat'  'orange cat'],jesters-robots,have some kitties in these trying times…,2024-07-07 23:05:58 GMT
0,Cats of Tumblr,['cute cats'  'cats'  'siberian cat'],cortinar,A Bisha  plus one i got as she moved.   majestic.,2024-07-07 23:03:38 GMT
394,Cats of Tumblr,['cat'  'cute cats'  'kitty'  'kitten'  'pet'  'pets'  'pets of tumblr'  'his grampa is his favourite and dad never lets me hear the end of it lol'],itsravioli,dinner with grampa. forgot to set a placemat out for him though 😔,2024-07-07 23:03:31 GMT
2,Cats of Tumblr,['shelter cat'  'adopt don’t shop'  'cats'],adtothebone,Alison has entered Play Mode.  cdhs.net,2024-07-07 22:59:20 GMT
754,Cats of Tumblr,[],rickybabyboy,ALT sleeping on my green thing  ID: Orange and white tabby sleeping on the back of a green couch with his feet kicked out cutely,2024-07-07 22:58:43 GMT
0,Cats of Tumblr,['cats'  '✨princess leia the kitty✨'  'she deserves her own tag ngl bc she’s the bestest baby'],arcanamouse,A certain someone is highly displeased about her biannual transformation into a wet rat,2024-07-07 22:57:13 GMT
3,Cats of Tumblr,['pet'  'pets'  'pets of tumblr'  'coyote'  'tulip'  'my pets'  'my cats'  'cute animals'  'my videos'  'youtube'],cursedcorvid,The only way I can post videos right now I guess  Anyway look at my cats,2024-07-07 22:35:07 GMT
33,Cats of Tumblr,['pipe bomb the cat'  'cat'  'cats'  'cute cats'],pipe-bomb-official,It’s a nice day for some gay stupidity,2024-07-07 22:32:28 GMT
23,Cats of Tumblr,['cute cats'  'cat'  'ravioli'  'pets'  'pet'  'kitty'  'kitten'  'pets of tumblr'  'hit the read more 🤫'],itsravioli,sulking :(  &lt;!-- more --&gt;   PSYCH! fooled you!! &gt;:3,2024-07-07 22:05:13 GMT
90,Cats of Tumblr,['cat blog'  'cats'],cherryandpudding,Happy new week!   Love  Cherry and Pudding,2024-07-07 22:03:52 GMT
3,Cats of Tumblr,[],boodraws,Woe sukie be upon ye,2024-07-07 22:01:52 GMT
0,Cats of Tumblr,['cat'  'cats'  'animal'  'animals'  'kitten'  'cute'  'haha'  'lol'  'humor'  'wholesome'  'aww'  'funny'],catlaughscentral,Funny cat pillow,2024-07-07 21:31:07 GMT
2,Cats of Tumblr,['whisper'  'dexy'  'cats'],adtothebone,3:33pm — Kitty-cat Limbo: Whisper and Dexy were torn between trying to convince me it’s dinner time (it wasn’t) and keeping a safe distance from the gutter-installation noises in the back yard.,2024-07-07 21:27:02 GMT
4,Cats of Tumblr,['cats'  'cute animals'  'cute cats'  'siberian cat'],cortinar,💕my babies💕  Tiba and Bisha,2024-07-07 21:22:29 GMT
2,Cats of Tumblr,['cats'],pics-of-maam,Lookin so distinguished in the pineapple box,2024-07-08 00:45:12 GMT
2,Cats of Tumblr,['cats'],pics-of-maam,Oh lord what she doin,2024-07-08 00:44:57 GMT
59,Cats of Tumblr,['cats'  'daisy mae stinkus'  'cute cats'  'kitty'  'pets'  'beafts'],daisymaestinkus,Close up Stinkus,2024-07-08 00:05:17 GMT
276,Cats of Tumblr,['cat'  'cute cat'  'black cat'  'golden cat eyes'  'pretty cat'  'rosalina'],cheza13,7.7.24 Rosalina enjoying a cool breeze; a break from the heat.,2024-07-07 23:39:38 GMT
712,Cats of Tumblr,[],rickybabyboy,ALTALT Hey…  IDs:  Image 1: An orange and white tabby looking down from a window sill from behind a curtain with very wide eyes  Image 2: The same cat reaching his paws out from behind the curtain,2024-07-07 23:12:50 GMT
10,Cats of Tumblr,['lotr'  'cat'  'lord of the rings'  'i think her favorite character is gimli just like me'],rena-and-raw-cookie-dough,Forcing my cat to watch the LotR extended editions with me.   She seems to be enjoying it.,2024-07-07 23:08:56 GMT
5,Cats of Tumblr,['cute cats'  'cats'  'cat'  'black cat'  'my cat'  'orange cat'],jesters-robots,have some kitties in these trying times…,2024-07-07 23:05:58 GMT
0,Cats of Tumblr,['cute cats'  'cats'  'siberian cat'],cortinar,A Bisha  plus one i got as she moved.   majestic.,2024-07-07 23:03:38 GMT
394,Cats of Tumblr,['cat'  'cute cats'  'kitty'  'kitten'  'pet'  'pets'  'pets of tumblr'  'his grampa is his favourite and dad never lets me hear the end of it lol'],itsravioli,dinner with grampa. forgot to set a placemat out for him though 😔,2024-07-07 23:03:31 GMT
2,Cats of Tumblr,['shelter cat'  'adopt don’t shop'  'cats'],adtothebone,Alison has entered Play Mode.  cdhs.net,2024-07-07 22:59:20 GMT
754,Cats of Tumblr,[],rickybabyboy,ALT sleeping on my green thing  ID: Orange and white tabby sleeping on the back of a green couch with his feet kicked out cutely,2024-07-07 22:58:43 GMT
0,Cats of Tumblr,['cats'  '✨princess leia the kitty✨'  'she deserves her own tag ngl bc she’s the bestest baby'],arcanamouse,A certain someone is highly displeased about her biannual transformation into a wet rat,2024-07-07 22:57:13 GMT
3,Cats of Tumblr,['pet'  'pets'  'pets of tumblr'  'coyote'  'tulip'  'my pets'  'my cats'  'cute animals'  'my videos'  'youtube'],cursedcorvid,The only way I can post videos right now I guess  Anyway look at my cats,2024-07-07 22:35:07 GMT
33,Cats of Tumblr,['pipe bomb the cat'  'cat'  'cats'  'cute cats'],pipe-bomb-official,It’s a nice day for some gay stupidity,2024-07-07 22:32:28 GMT
23,Cats of Tumblr,['cute cats'  'cat'  'ravioli'  'pets'  'pet'  'kitty'  'kitten'  'pets of tumblr'  'hit the read more 🤫'],itsravioli,sulking :(  &lt;!-- more --&gt;   PSYCH! fooled you!! &gt;:3,2024-07-07 22:05:13 GMT
90,Cats of Tumblr,['cat blog'  'cats'],cherryandpudding,Happy new week!   Love  Cherry and Pudding,2024-07-07 22:03:52 GMT
15,Cats of Tumblr,['wholesome'  'cute cats'  'love my cat'  'cats'  'kitty cat'  'kitty'  'kittyposting'  'cute kitty'  'pretty kitty'  'handsome boi'],lunarlights-world,Warm baby,2024-07-08 01:48:39 GMT
6,Cats of Tumblr,['cat'  'jasperthebastard'],jasperthebastard,look at my stance!!! im the handsome,2024-07-08 01:15:22 GMT
0,Cats of Tumblr,['creepypasta'  'retro'],elowenlump125,She is Zhang Yasurie/ Yasu Rie gomi 👍,2024-07-08 01:05:55 GMT
2,Cats of Tumblr,['cats'],pics-of-maam,Lookin so distinguished in the pineapple box,2024-07-08 00:45:12 GMT
2,Cats of Tumblr,['cats'],pics-of-maam,Oh lord what she doin,2024-07-08 00:44:57 GMT
59,Cats of Tumblr,['cats'  'daisy mae stinkus'  'cute cats'  'kitty'  'pets'  'beafts'],daisymaestinkus,Close up Stinkus,2024-07-08 00:05:17 GMT
276,Cats of Tumblr,['cat'  'cute cat'  'black cat'  'golden cat eyes'  'pretty cat'  'rosalina'],cheza13,7.7.24 Rosalina enjoying a cool breeze; a break from the heat.,2024-07-07 23:39:38 GMT
712,Cats of Tumblr,[],rickybabyboy,ALTALT Hey…  IDs:  Image 1: An orange and white tabby looking down from a window sill from behind a curtain with very wide eyes  Image 2: The same cat reaching his paws out from behind the curtain,2024-07-07 23:12:50 GMT
10,Cats of Tumblr,['lotr'  'cat'  'lord of the rings'  'i think her favorite character is gimli just like me'],rena-and-raw-cookie-dough,Forcing my cat to watch the LotR extended editions with me.   She seems to be enjoying it.,2024-07-07 23:08:56 GMT
5,Cats of Tumblr,['cute cats'  'cats'  'cat'  'black cat'  'my cat'  'orange cat'],jesters-robots,have some kitties in these trying times…,2024-07-07 23:05:58 GMT
0,Cats of Tumblr,['cute cats'  'cats'  'siberian cat'],cortinar,A Bisha  plus one i got as she moved.   majestic.,2024-07-07 23:03:38 GMT
394,Cats of Tumblr,['cat'  'cute cats'  'kitty'  'kitten'  'pet'  'pets'  'pets of tumblr'  'his grampa is his favourite and dad never lets me hear the end of it lol'],itsravioli,dinner with grampa. forgot to set a placemat out for him though 😔,2024-07-07 23:03:31 GMT
2,Cats of Tumblr,['shelter cat'  'adopt don’t shop'  'cats'],adtothebone,Alison has entered Play Mode.  cdhs.net,2024-07-07 22:59:20 GMT
754,Cats of Tumblr,[],rickybabyboy,ALT sleeping on my green thing  ID: Orange and white tabby sleeping on the back of a green couch with his feet kicked out cutely,2024-07-07 22:58:43 GMT
0,Cats of Tumblr,['cats'  '✨princess leia the kitty✨'  'she deserves her own tag ngl bc she’s the bestest baby'],arcanamouse,A certain someone is highly displeased about her biannual transformation into a wet rat,2024-07-07 22:57:13 GMT
11,Cats of Tumblr,['cats'  'my cat'  'my stuff'],sherribonne,Look at my cat! She arrived last night - a stray who a friend of a friend has been feeding. She spent the first four hours wedged in between the wall and the litter box but started moving around later. This morning I went into the bathroom where we’ve set her up with everything she needs and she’d somehow got into the shower cubicle and was stuck. 🥺 but once released she was very affectionate and purring. I love her so much.   Her name is Cinnamon. 🥰,2024-07-08 02:47:32 GMT
10,Cats of Tumblr,['how to dance in ohio'  'htdio'  'fidget spinner'  'endocrine weirdness'  'actually autistic'  'american healthcare is neither healthy nor caring'  'but really this is mostly about the cat and the fidget spinner'],ashleywool,health update/diatribe/infodump BUT THERE’S A CAT VIDEO AT THE END Dearest reader: This should be a simple health update but instead it’s an obnoxiously detailed info-dump written by the kind of person who knows more than most people about American health insurance but is still surprised at how it continues to find new and innovative ways to suck. If this is not the type of thing your brain or nervous system wants to wrap itself around I don’t blame you one bit but if it is I hope you’ll at least walk away having learned something or being at least mildly entertained. If not feel free to  SCROLL TO THE END FOR A HTDIO-ADJACENT CAT VIDEO! When last we left our third-or-fourth-favorite mildly niche-famous T-list Broadway person she was finally on the brink of getting a brain and pituitary MRI. This was supposed to happen on Friday.  But I wasn’t allowed to get the MRI on Friday because Cigna’s pre-authorization was still pending and there was nothing my doctor could do to escalate its urgency nor could they withdraw the order. They couldn’t do anything at all until the third-party organization that approves the pre-authorizations signed off on its medical necessity.   Look I get it. This is an expensive and labor-intensive procedure so they have to be thorough. I mean sure my doctor said it was medically necessary and sure they sent the additional clinical information to confirm its medically necessity and sure every order at every stage was marked as urgently medically necessary and it was sent for processing on Monday but how can they REALLY be sure it’s medically necessary until my case is also reviewed by doctors who have NEVER seen me and don’t work weekends or holidays and will get around to reviewing it at their own leisure? The folks at the radiology clinic rescheduled me in their next available spot and maintained that they’d contact me as soon as possible to fill any upcoming cancellation spots.  A ridiculous mildly annoying setback was that their next available appointment wasn’t until July 26. They couldn’t attempt to book me at any of the other dozens of clinics affiliated with this hospital network because the pre-authorization is site-specific which is like buying someone a gift card from the Starbucks on my block only to find out that they won’t honor it at the Starbucks two blocks down perfectly reasonable because I’m sure every site has differences that can’t be perceived from a patient perspective.  Oh and the existence of a pending pre-authorization prevented them from doing the MRI that day even if I’d had $8K in cash to pay out of pocket for the procedure. Which is perfectly reasonable because why shouldn’t American healthcare policy punish rich people too? I’m sure it’s many flavors of unethical for one doctor to do something without the approval of another doctor even though the doctor whose approval it hangs on has NEVER SEEN ME.  One fellow in particular–I’ll call him Quincy–gave me some insider info on how to prepare for the types of advocacy he’s had to do in the past with this particular pre-authorization team and which numbers to call and questions to ask. He isn’t technically supposed to know this stuff and also isn’t technically supposed to share it but says he does it all the time anyway–hence why I’m keeping him anonymous. Quincy isn’t his real name but Quincy is a real one and I took in his information like a medieval warrior selecting the choicest armor to prepare for battle the informed and fully compliant patient I strive to be.  Anyway a few persistent phone calls later a Cigna rep informed me that the middlemen would approve the pre-authorization for the MRI on the condition that I get the procedure done at a standalone radiology facility instead of a hospital-affiliated facility. Which is like buying someone a gift card that could only be honored at Starbucks kiosks located inside Target stores but not at a standalone Starbucks or anywhere else in Target perfectly reasonable I know the insurance companies don’t wanna have to spend hospital prices any more than I do. So I spent a great deal of time yesterday looking up non-hospital-affiliated radiology clinics that were in-network.  I made an appointment with one clinic for Thursday. But I also made an appointment request at a different clinic for Monday morning just in case they could see me sooner–because I knew this clinic didn’t accept Medicare or Medicaid and were therefore exempt from the requirement of third-party pre-authorization. (Pro-tip: even if you do have Medicare or Medicaid always try to bypass pre-authorization for diagnostic procedures especially if you have a particularly high in-network deductible–it’s entirely possible that paying out of pocket for a service at an out-of-network provider could cost less than the amount you’d have to pay towards your deductible at at in-network facility. American math.)  THIS MORNING I woke up at 8am to a phone call from the latter clinic saying that if I sent them the doctor’s prescription they could pre-authorize the procedure and see me tomorrow. So that’s what I did…and then I got an email saying that they couldn’t accept a prescription for an MRI with and without contrast because they don’t have contrast at that facility. Which is like finally securing a coveted reservation at an elite steakhouse only to find out they don’t season their steak or even have steak sauce perfectly reasonable because not everyone needs contrast but I do so that place was out.  But as far as I’ve been told Thursday’s appointment should go off without a hitch as long as I call EviCore (the pre-authorization middlemen) tomorrow morning to tell them all about the not-hospital that will be giving me a not-hospital-priced MRI so that they can grant the pre-authorization at long last.  Perhaps if I plead my case and bat my eyes at them real cute-like through the phone  they’ll give me some other reason why it’s actually not medically necessary for me to know definitively whether or not I have a literal brain tumor I can get seen even sooner than Thursday.  FUNNY STORY THOUGH…  A couple weeks ago I was talking to a friend from church who was going through a lot of the same stuff as I was and I was like “idk maybe get your cortisol checked?” and lo and behold he messaged me back a few days ago saying that he’d found a new doctor and asked him to do just that and WITHIN A DAY his doctor ordered ALL the labs I’d fought for (serum blood cortisol low-dose dexamethasone suppression test 24-hour urine saliva etc.) AND an MRI for suspected Cushing’s.  And he completed ALL OF THAT within a week.  Although he did have to suffer for quite a while before I floated the possibility of Cushing’s just like my friend Alan had to suffer for years before his own endocrinologists floated the possibility of Cushing’s. Still they both got that MRI the second it WAS floated without a fight and I’m genuinely happy for them.  But I can’t help wondering how much quicker and easier this whole process would have been for me if I were a man. Or if I was neurotypical. Or if I still had a choice about whether or not to disclose being autistic. But mostly if I were a man.  THIS IS THE END! HERE IS THE HTDIO-ADJACENT CAT VIDEO YOU WERE PROMISED! I’m fostering my friends’ exquisite tuxedo princessfloof for a few weeks. Chevy and Tex are being very accommodating foster siblings but she’s much younger and is used to being the only pet so naturally it took her a while to acclimate.  But there was one thing she took to immediately: the How to Dance in Ohio fidget spinner.,2024-07-08 02:42:17 GMT
8,Cats of Tumblr,['back to the future'  'cat'],jayisnotdrawing,I’m never getting this done.,2024-07-08 02:28:12 GMT
99,Cats of Tumblr,['croutons'  'cat'  'cats'  'catblr'  'orange cat'  'petblr'  'no description'],princecroutons,yeah alright,2024-07-08 02:25:23 GMT
17,Cats of Tumblr,['pipe bomb the cat'  'cat'  'yes he actually found a way into the ceiling'  'he was patting ppl on the head as they walked under him'  'he tried to steal a beanie'],pipe-bomb-official,Did anybody order a ceiling gremlin?,2024-07-08 02:24:46 GMT
126,Cats of Tumblr,['croutons'  'cat'  'cats'  'catblr'  'orange cat'  'petblr'  'no description'],princecroutons,5pm nap havers looks like this,2024-07-08 02:09:48 GMT
15,Cats of Tumblr,['wholesome'  'cute cats'  'love my cat'  'cats'  'kitty cat'  'kitty'  'kittyposting'  'cute kitty'  'pretty kitty'  'handsome boi'],lunarlights-world,Warm baby,2024-07-08 01:48:39 GMT
6,Cats of Tumblr,['cat'  'jasperthebastard'],jasperthebastard,look at my stance!!! im the handsome,2024-07-08 01:15:22 GMT
0,Cats of Tumblr,['creepypasta'  'retro'],elowenlump125,She is Zhang Yasurie/ Yasu Rie gomi 👍,2024-07-08 01:05:55 GMT
2,Cats of Tumblr,['cats'],pics-of-maam,Lookin so distinguished in the pineapple box,2024-07-08 00:45:12 GMT
2,Cats of Tumblr,['cats'],pics-of-maam,Oh lord what she doin,2024-07-08 00:44:57 GMT
59,Cats of Tumblr,['cats'  'daisy mae stinkus'  'cute cats'  'kitty'  'pets'  'beafts'],daisymaestinkus,Close up Stinkus,2024-07-08 00:05:17 GMT
276,Cats of Tumblr,['cat'  'cute cat'  'black cat'  'golden cat eyes'  'pretty cat'  'rosalina'],cheza13,7.7.24 Rosalina enjoying a cool breeze; a break from the heat.,2024-07-07 23:39:38 GMT
712,Cats of Tumblr,[],rickybabyboy,ALTALT Hey…  IDs:  Image 1: An orange and white tabby looking down from a window sill from behind a curtain with very wide eyes  Image 2: The same cat reaching his paws out from behind the curtain,2024-07-07 23:12:50 GMT
1,Cats of Tumblr,['cats'  'prison'  'stuffed animals'  'imprisonment'],alexander-the-greatest1987,Imprisoned,2024-07-08 03:42:05 GMT
7,Cats of Tumblr,['heartstopper cast'  'cat'  'cars'],roselandsrl,New appliance,2024-07-08 03:40:11 GMT
19,Cats of Tumblr,['calliope'  'calliope the cat'  'kitty'  'kitty cat'  'cat'  'cat mom'  'fur baby'  'mi bebe'  'baby'  'polydactyl'  'babygirl'  'me'  'mine'  'crazy cat lady'],im-deathly-scared-of-zombies,👑 All hail Miss Pípí! 👑,2024-07-08 03:39:36 GMT
2,Cats of Tumblr,[],genderlesgremlin,I’m so glad the cats of tumblr is trending,2024-07-08 03:39:23 GMT
